ID,text,label,model_0_prob,model_1_prob,model_10_prob,model_11_prob,model_12_prob,model_13_prob,model_14_prob,model_15_prob,model_16_prob,model_17_prob,model_18_prob,model_19_prob,model_2_prob,model_20_prob,model_21_prob,model_22_prob,model_23_prob,model_24_prob,model_25_prob,model_26_prob,model_3_prob,model_4_prob,model_5_prob,model_6_prob,model_7_prob,model_8_prob,model_9_prob
697,"Statement of Buta Biberaj Recall Group, Virginians for Safe Communities  on   new report on how Loudoun Soros DA freed abuser to kill victim Justice4Regina Stop Biberaj NOW- sign recall petition at BounceButa dot Com   ",0,0.21092313186043574,0.20945505826736213,0.20814440810345153,0.2071289118307184,0.1684312597728837,0.16153874895037285,0.16545090534769785,0.11104977669984979,0.13765982139414873,0.13669538439023304,0.20890668298874138,0.21117007237713076,0.2091567927901493,0.21010531539921593,0.16475924392908983,0.1637032923279537,0.16705557835962073,0.11119767472775104,0.13609858231393263,0.1349298755907569,0.17690026120149996,0.16585509525633402,0.17064674202420033,0.11464969832995098,0.1393959781947393,0.1399498907845552,0.20675344489998831
1541,"200 days till the loudoun county school board goes on trial, and the loudoun county parents are the jurors. 

Nov 5th. Save the date 

school schoolboards Loudoun saveourschools kidsfirst     ",0,0.16293081481292984,0.16152909412498012,0.16342813862093464,0.16285794813912313,0.09422789535379779,0.09684431954682989,0.08896537537165636,0.05644123647485666,0.06710958436724772,0.05741428563473677,0.16356026602454898,0.16215661398248032,0.1631277807946206,0.1617253366400587,0.09105778196024447,0.09233172267634804,0.08866630757231331,0.057753801830709196,0.06420341291827342,0.05583546662193369,0.09149366551366823,0.09519301222788991,0.08617077153157668,0.0637501549069527,0.07171093797031865,0.05569634629694098,0.16537863430080546
772,Let's get one thing straight. These parents who claimed to be concerned about CRT are using threats of violence to force school board members to resign so that they can take over. That's called terrorism. These people are terrorists! ,1,0.41920287561276987,0.4235575487166578,0.4259222301068803,0.42638107929819863,0.607976064965887,0.607840794084473,0.6115697029499608,0.7812491546887148,0.7759818558066278,0.7771835401219016,0.42107059579453915,0.421142320997427,0.42120111342722294,0.4227424877547019,0.6127875429688231,0.6145361167878456,0.6163520196321818,0.7806469574031007,0.7773862145711273,0.7748725479902829,0.5906612311837993,0.5980398993156502,0.5939413490381852,0.767332939502009,0.7648397961140736,0.7696904664175385,0.4263584211978829
2217,"    Man upset b/c his 9th grade daughter raped/sodomized in girls' restroom by gender fluid boy arrested during school board mtng &amp; smeared as 'domestic terrorist'.  

Loudoun County, Virginia, accused of lying &amp; covering the rape up.   ",0,0.17217493849232343,0.17563957507052808,0.17607381370285585,0.17519620294884264,0.10139261448388456,0.10517735601164405,0.10700837305674678,0.04759375250811101,0.049425960616917355,0.04687033049536154,0.17586823081948225,0.17559782447843908,0.17467883154240246,0.17610732403649898,0.10139678701875907,0.10551689303097282,0.10494036211338136,0.04873071085485598,0.04719962726438976,0.046703265080821885,0.10202342560884423,0.10439282990723267,0.1053685633174549,0.04237524703420066,0.043416372828803805,0.03890933400624547,0.175907185524548
119,"The parents have spoken! Furious moms and dads confront Loudoun County school board and reveal they've filed petitions to have chair and three board members removed after boy-in-a-skirt rape 'cover-up'
via  T'is a beautiful thing  ",0,0.2077953799496058,0.2000735715691669,0.20949818551185279,0.21503986934139774,0.1418404248903005,0.14472582095943778,0.1569016925150277,0.10323114874125461,0.11645123855493937,0.12742435985213912,0.21311403134002718,0.21011851653984928,0.20319418578498163,0.21318064846594287,0.14653526095583452,0.1453198683519636,0.15975866170271508,0.10601282598693895,0.11869845852508679,0.1262730243216078,0.14518595003612803,0.1393417222542395,0.15487486885137225,0.10650850813234287,0.10526539861682997,0.11543426043771321,0.21269699045746343
2218,"Angry parents are likely among the 120 speakers scheduled to address the Loudoun County School Board this evening in the public comment period to begin at 530pm.  Speakers, virtual and in-person,  will be limited to 1 minute each.  ",0,0.19380874756604818,0.19488812604317773,0.19453221072535742,0.19554996064698393,0.12993970269219415,0.13001925660441352,0.12765538539307647,0.07556071733776702,0.0774132908881233,0.07250537379174725,0.19475305462705245,0.1951420937144348,0.19608832212373073,0.19655044101565666,0.13038631255871558,0.12971013566435222,0.12764987782626086,0.07465475347294222,0.07593415499382426,0.07163649322192173,0.1300764234285213,0.1251465717684748,0.12702296766242746,0.07664961098000611,0.07838646605414837,0.07100946670309587,0.19405795876387325
2212,The proposed amendment by Governor Youngkin for HB1138 not only undermines our democratic principles but also sets a dangerous precedent for Governors to remove locally elected officials. ,0,0.2983923534779895,0.2983923534779895,0.29691618237126577,0.2967288807839642,0.46112306734817865,0.4646516387767502,0.46451062831662215,0.6585792686056259,0.6651792686056258,0.6646077930223855,0.29640760958484696,0.2969909429181803,0.2982875915732276,0.2968660751933126,0.4595237115733447,0.4600427591923923,0.46052414904437045,0.6500983940527982,0.6557658543702585,0.6564616938249216,0.452997058580083,0.4583970585800829,0.459298340631365,0.65652638637439,0.6648287673267708,0.6642149233276328,0.29691618237126577
1410,Loudoun County Parents Take a Stand Against 'Wokest School Board in America' ,1,0.21315737603627083,0.20848346820826874,0.20964167868299258,0.21071376540039863,0.3368781846228419,0.30526518440628625,0.3087054518389074,0.6092757780715978,0.5267876906812999,0.518230577928488,0.21170218596301876,0.2074368358661205,0.21259994774886198,0.20842014737415315,0.33509018095842374,0.3020708028023277,0.3036159070547574,0.6058743385906918,0.5251969257855684,0.5153130153412373,0.37482155385000643,0.3150586606548492,0.30930032029522,0.6318338204966631,0.5499240283553803,0.5469668037224532,0.21375812922435627
1846,There you have it. The extreme antics of the LCPS School Board are a direct extension of the Loudoun Democrat unit committee - which at last report is still planning to ship radicals into the SB meeting today. ,1,0.39111378190456103,0.39353072190916494,0.38140161317240795,0.3817823344952592,0.5858265511612597,0.5847900225950667,0.5766508357916578,0.7525768028064729,0.7488802760947986,0.7495193177064554,0.3843261857426691,0.38361501624687244,0.3901176288614278,0.3844527603577159,0.5802507871934378,0.5789152599102664,0.5735652888435573,0.7405768967023076,0.7414197941001686,0.7434974377667972,0.6032666077878039,0.5979661696406627,0.5941254212551165,0.7537240517174644,0.7548019884558137,0.7538859998037102,0.3808772300505582
679,"Republican Fascism  On the March
Loudoun school board member Beth Barts resigns her position ",1,0.19329764880473568,0.18785781162105672,0.19306685483814828,0.19425057510623384,0.20215418876644034,0.2106714125684667,0.21015475557591667,0.29202259030813826,0.2994156860544105,0.3061703775367129,0.1937105880750098,0.19402616488400892,0.19069606469420208,0.1928290761929963,0.20117179914655506,0.20308395093015089,0.20214155144832174,0.288998072811644,0.30215776308608794,0.3035938695376097,0.20412582257657874,0.21215207972905503,0.21601948962354384,0.2851830498084937,0.3052667233808813,0.2982493870476512,0.1959111740856121
